class,LowerTrailCamera,NorthernTowerMeadowCamera,SODPlotCamera,UpperMostROWCamera,UpperROWWoodChipFieldCamera,UpperTrailCamera,unknown,total
bobcat,234,27,31,141,61,82,0,576
coyote,13,3,30,52,20,79,0,197
crow,0,0,3,2,0,0,0,5
deer,380,718,831,1891,211,194,0,4225
dog,29,0,0,8,0,0,0,37
fox,80,6,1,0,0,0,0,87
hawk,2,3,0,0,0,0,0,5
human,1750,10,237,126,9,43,0,2175
miscellaneous birds,0,0,0,9,24,0,0,33
mountainlion,12,0,0,0,3,3,0,18
mouse,15,2,0,0,0,0,0,17
multiple,0,3,0,17,0,0,0,20
nothing,4738,2115,654,1167,1594,167,0,10435
owl,0,0,2,0,3,0,0,5
pig,0,0,0,0,0,0,0,0
possum,135,50,201,49,14,69,0,518
quail,11,0,3,3,7,0,0,24
rabbit,460,18,24,766,424,120,0,1812
raccoon,11,0,4,0,0,0,0,15
raven,22,12,0,0,0,0,0,34
skunk,232,46,144,65,18,84,0,589
squirrel,702,450,921,250,103,0,0,2426
stellar_s jay,0,0,0,0,0,0,6,6
turkey,197,121,121,50,157,0,0,646
unknown,214,156,125,355,105,88,0,1043
vehicle,0,0,0,18,0,0,0,18
total,9237,3740,3332,4969,2753,929,6,24966
